ticker
AAPL
MSFT
AMZN
NVDA
META
GOOGL
GOOG
BRK.B
LLY
AVGO
TSLA
JPM
UNH
V
XOM
MA
HD
PG
COST
JNJ
ABBV
MRK
NFLX
BAC
KO
PEP
ADBE
CRM
WMT
ORCL
TMO
ACN
CSCO
ABT
MCD
INTC
LIN
AMD
DIS
VZ
CMCSA
NKE
DHR
TXN
PM
UPS
IBM
AMGN
NOW
LOW
MS
CAT
SPGI
GS
BLK
HON
RTX
NEE
SCHW
ISRG
PFE
AMT
BKNG
CVX
MDT
TJX
C
AXP
LMT
GILD
ADI
SYK
ETN
VRTX
MU
REGN
BA
MDLZ
SBUX
PLD
ZTS
MMC
DE
CB
CI
SO
MO
TMUS
CL
PGR
EQIX
HUM
DUK
APD
BSX
CME
SHW
ITW
NOC
FIS
PNC
AON
ICE
MCO
USB
WM
ADP
EOG
FDX
TGT
EMR
CSX
KLAC
PH
MAR
ORLY
MCK
GD
WFC
GM
NEM
CMG
SLB
PSA
FTNT
RSG
BDX
HCA
IT
KMI
EW
LRCX
TT
AEP
APTV
NXPI
MCHP
ROP
VLO
DXCM
TRV
SNPS
STZ
F
ALL
OXY
KMB
CTAS
MSI
PCAR
DOW
MNST
GIS
IDXX
TEL
AIG
COR
ROST
COF
BIIB
EL
EXC
SYY
CMI
AJG
HES
PHM
EA
YUM
ADM
LULU
ED
PRU
GLW
HPQ
OTIS
DFS
PEG
LEN
WMB
FAST
IR
VRSK
DAL
KR
CDNS
VMC
XEL
RCL
AVB
ECL
AMP
WELL
IFF
ETR
MTB
STT
AME
GRMN
PCG
HIG
KHC
BRO
CTSH
CARR
WAB
HSY
MLM
EQR
ON
TSCO
DLR
ANET
EBAY
FITB
DVN
EFX
RJF
SWK
ODFL
CNC
GWW
ATO
CAH
VTR
SNA
CHTR
NUE
TDG
PPL
EXR
FE
BAX
KEY
DTE
NDAQ
LH
K
IR
RF
CNP
ZBH
WEC
STE
HPE
ARE
MTD
XYL
HBAN
DOV
IFF
UDR
NTRS
TXT
ESS
ULTA
EXPD
FANG
GPC
CAG
NVR
LUV
HWM
J
WST
VRSN
ATO
ALB
LDOS
MAA
PKI
NI
PKG
MKC
HOLX
BRO
EVRG
AES
AEE
WRB
PFG
NDSN
CMS
TRGP
TER
NCLH
VICI
GL
BBY
CFG
STLD
BALL
CCL
KIM
CZR
DG
DPZ
FDS
INCY
IPG
LW
MGM
MKTX
MOS
OMC
POOL
RVTY
SWKS
UAL
UHS
WRK
ZBRA
DAY
DRI
GEN
HST
JKHY
JNPR
KEYS
KMX
LKQ
LYB
NRG
PAYC
PTC
ROL
SJM
TDY
TECH
TPR
UAL
VTRS
WDC
WYNN
YUM
ZION
